sample,batch,class,order,time,paired
Blank06,1,Blank,,,
p09,1,CT,,15,
p10,1,CT,,120,
p11,1,CT,,60,
p12,1,Palbo,,15,
p13,1,Palbo,,120,
p14,1,Palbo,,60,
p15,1,ID004,,15,
p16,1,ID004,,120,
p17,1,ID004,,60,
p18,1,CT,,15,
p19,1,CT,,180,
p20,1,CT,,60,
p21,1,Palbo,,15,
p22,1,Palbo,,180,
p23,1,Palbo,,60,
p24,1,ID004,,15,
p25,1,ID004,,180,
p26,1,ID004,,60,
p27,1,CT,,15,
p28,1,CT,,180,
p29,1,CT,,120,
p30,1,Palbo,,15,
p31,1,Palbo,,180,
p32,1,Palbo,,120,
p33,1,ID004,,15,
p34,1,ID004,,180,
p35,1,ID004,,120,
p36,1,CT,,60,
p37,1,CT,,180,
p38,1,CT,,120,
p39,1,Palbo,,60,
p40,1,Palbo,,180,
p41,1,Palbo,,120,
p42,1,ID004,,60,
p43,1,ID004,,180,
p44,1,ID004,,120,
QC01,1,QC,,,
QC02,1,QC,,,
QC03,1,QC,,,
QC05,1,QC,,,
QC05 (no label),1,QC no label,,,
QC06,1,QC,,,
QC07,1,QC,,,
QC08,1,QC,,,
QC09,1,QC,,,
QC10,1,QC,,,
